clause_text,clause_type,document_type,risk_label,legal_basis,jurisdiction
"In absence of a valid nomination, the claim amount shall be payable to legal heirs as per succession law, which may delay settlement by 6 months. Any deviation from this clause shall require prior written consent.",Nominee,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
"In absence of a valid nomination, the claim amount shall be payable to legal heirs as per succession law, which may delay settlement by 12 months. This provision is subject to applicable regulatory guidelines.",Nominee,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. Any deviation from this clause shall require prior written consent. This clause is subject to amendment by way of written notice.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This provision is subject to applicable regulatory guidelines. Nothing in this clause shall be construed as a waiver of statutory rights.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / IRDAI Regulations,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. The parties acknowledge this clause as forming part of the binding terms. The applicable schedule shall be read as part of this clause.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / IRDAI Regulations,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This provision is subject to applicable regulatory guidelines.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This clause shall survive termination of the Agreement where applicable. Nothing in this clause shall be construed as a waiver of statutory rights.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / IRDAI Regulations,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This provision is subject to applicable regulatory guidelines. This clause is subject to amendment by way of written notice.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This clause shall survive termination of the Agreement where applicable.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / Motor Vehicles Act 1988,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. The parties acknowledge this clause as forming part of the binding terms.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This clause shall be read together with the other terms of this Agreement. The applicable schedule shall be read as part of this clause.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / IRDAI Regulations,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. Any deviation from this clause shall require prior written consent.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / Motor Vehicles Act 1988,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This provision forms an integral part of the Agreement.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. The parties acknowledge this clause as forming part of the binding terms. This clause is subject to amendment by way of written notice.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This clause shall be read together with the other terms of this Agreement.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This term is subject to periodic review by the Company. This clause is subject to amendment by way of written notice.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / IRDAI Regulations,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This clause shall be read together with the other terms of this Agreement. Nothing in this clause shall be construed as a waiver of statutory rights.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This provision is subject to applicable regulatory guidelines. The applicable schedule shall be read as part of this clause.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This clause shall survive termination of the Agreement where applicable. The applicable schedule shall be read as part of this clause.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / IRDAI Regulations,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This provision forms an integral part of the Agreement. The applicable schedule shall be read as part of this clause.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This provision forms an integral part of the Agreement. Nothing in this clause shall be construed as a waiver of statutory rights.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. Any deviation from this clause shall require prior written consent. Nothing in this clause shall be construed as a waiver of statutory rights.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This provision forms an integral part of the Agreement. This clause is subject to amendment by way of written notice.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / IRDAI Regulations,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This term is subject to periodic review by the Company. The applicable schedule shall be read as part of this clause.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / Motor Vehicles Act 1988,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This term is subject to periodic review by the Company.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This clause shall survive termination of the Agreement where applicable. This clause is subject to amendment by way of written notice.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / IRDAI Regulations,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This clause shall be read together with the other terms of this Agreement. This clause is subject to amendment by way of written notice.,Nominee,Insurance Agreement,Risky,Insurance Act 1938 / IRDAI Regulations,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. The parties acknowledge this clause as forming part of the binding terms. Nothing in this clause shall be construed as a waiver of statutory rights.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. Any deviation from this clause shall require prior written consent. The applicable schedule shall be read as part of this clause.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
The Insurer may withhold payment to the nominee pending an internal investigation of unspecified duration. This term is subject to periodic review by the Company. Nothing in this clause shall be construed as a waiver of statutory rights.,Nominee,Insurance Agreement,Risky,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Policyholder may cancel the policy within a free-look period of 3 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 7 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 5 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 60 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 14 days for a full refund of premium, less proportionate risk premium. This clause shall survive termination of the Agreement where applicable.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 75 days for a full refund of premium, less proportionate risk premium. This provision is subject to applicable regulatory guidelines. The applicable schedule shall be read as part of this clause.",Policy Cancellation,Insurance Agreement,Safe,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Policyholder may cancel the policy within a free-look period of 14 days for a full refund of premium, less proportionate risk premium. This provision forms an integral part of the Agreement. Nothing in this clause shall be construed as a waiver of statutory rights.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 120 days for a full refund of premium, less proportionate risk premium. Any deviation from this clause shall require prior written consent. Nothing in this clause shall be construed as a waiver of statutory rights.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 90 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Policyholder may cancel the policy within a free-look period of 21 days for a full refund of premium, less proportionate risk premium. This clause shall survive termination of the Agreement where applicable.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 3 days for a full refund of premium, less proportionate risk premium. This term is subject to periodic review by the Company.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 5 days for a full refund of premium, less proportionate risk premium. This clause shall survive termination of the Agreement where applicable.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 15 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 7 days for a full refund of premium, less proportionate risk premium. This clause shall be read together with the other terms of this Agreement. The applicable schedule shall be read as part of this clause.",Policy Cancellation,Insurance Agreement,Safe,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Policyholder may cancel the policy within a free-look period of 5 days for a full refund of premium, less proportionate risk premium. This clause shall survive termination of the Agreement where applicable. The applicable schedule shall be read as part of this clause.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 120 days for a full refund of premium, less proportionate risk premium. This clause shall survive termination of the Agreement where applicable.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 45 days for a full refund of premium, less proportionate risk premium. This clause shall be read together with the other terms of this Agreement. Nothing in this clause shall be construed as a waiver of statutory rights.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 2 days for a full refund of premium, less proportionate risk premium. This provision is subject to applicable regulatory guidelines. This clause is subject to amendment by way of written notice.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 45 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 14 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Policyholder may cancel the policy within a free-look period of 75 days for a full refund of premium, less proportionate risk premium. This provision is subject to applicable regulatory guidelines.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 120 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 15 days for a full refund of premium, less proportionate risk premium. Any deviation from this clause shall require prior written consent.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 120 days for a full refund of premium, less proportionate risk premium. Any deviation from this clause shall require prior written consent. This clause is subject to amendment by way of written notice.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 60 days for a full refund of premium, less proportionate risk premium. The parties acknowledge this clause as forming part of the binding terms.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 90 days for a full refund of premium, less proportionate risk premium. Any deviation from this clause shall require prior written consent. The applicable schedule shall be read as part of this clause.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 2 days for a full refund of premium, less proportionate risk premium. This clause shall be read together with the other terms of this Agreement.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 7 days for a full refund of premium, less proportionate risk premium. Any deviation from this clause shall require prior written consent.",Policy Cancellation,Insurance Agreement,Safe,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Policyholder may cancel the policy within a free-look period of 45 days for a full refund of premium, less proportionate risk premium. Any deviation from this clause shall require prior written consent.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 3 days for a full refund of premium, less proportionate risk premium. Any deviation from this clause shall require prior written consent.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 75 days for a full refund of premium, less proportionate risk premium. The parties acknowledge this clause as forming part of the binding terms.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 75 days for a full refund of premium, less proportionate risk premium. This term is subject to periodic review by the Company.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 60 days for a full refund of premium, less proportionate risk premium. Any deviation from this clause shall require prior written consent. Nothing in this clause shall be construed as a waiver of statutory rights.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 21 days for a full refund of premium, less proportionate risk premium. This clause shall be read together with the other terms of this Agreement. This clause is subject to amendment by way of written notice.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 10 days for a full refund of premium, less proportionate risk premium. This term is subject to periodic review by the Company. The applicable schedule shall be read as part of this clause.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 60 days for a full refund of premium, less proportionate risk premium. This term is subject to periodic review by the Company. The applicable schedule shall be read as part of this clause.",Policy Cancellation,Insurance Agreement,Safe,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Policyholder may cancel the policy within a free-look period of 30 days for a full refund of premium, less proportionate risk premium. This clause shall be read together with the other terms of this Agreement. Nothing in this clause shall be construed as a waiver of statutory rights.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 90 days for a full refund of premium, less proportionate risk premium. The parties acknowledge this clause as forming part of the binding terms. This clause is subject to amendment by way of written notice.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 30 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 5 days for a full refund of premium, less proportionate risk premium. This term is subject to periodic review by the Company. Nothing in this clause shall be construed as a waiver of statutory rights.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 75 days for a full refund of premium, less proportionate risk premium. This clause shall be read together with the other terms of this Agreement.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 2 days for a full refund of premium, less proportionate risk premium. Any deviation from this clause shall require prior written consent.",Policy Cancellation,Insurance Agreement,Safe,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Policyholder may cancel the policy within a free-look period of 15 days for a full refund of premium, less proportionate risk premium. This clause shall survive termination of the Agreement where applicable.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 10 days for a full refund of premium, less proportionate risk premium. This clause shall be read together with the other terms of this Agreement.",Policy Cancellation,Insurance Agreement,Safe,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Policyholder may cancel the policy within a free-look period of 5 days for a full refund of premium, less proportionate risk premium. The parties acknowledge this clause as forming part of the binding terms.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 3 days for a full refund of premium, less proportionate risk premium. The parties acknowledge this clause as forming part of the binding terms.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 14 days for a full refund of premium, less proportionate risk premium. Any deviation from this clause shall require prior written consent.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 15 days for a full refund of premium, less proportionate risk premium. This term is subject to periodic review by the Company. The applicable schedule shall be read as part of this clause.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 3 days for a full refund of premium, less proportionate risk premium. This provision is subject to applicable regulatory guidelines. The applicable schedule shall be read as part of this clause.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 5 days for a full refund of premium, less proportionate risk premium. This provision is subject to applicable regulatory guidelines.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 21 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 7 days for a full refund of premium, less proportionate risk premium. This term is subject to periodic review by the Company. This clause is subject to amendment by way of written notice.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / Motor Vehicles Act 1988,India
"The Policyholder may cancel the policy within a free-look period of 2 days for a full refund of premium, less proportionate risk premium. The parties acknowledge this clause as forming part of the binding terms. Nothing in this clause shall be construed as a waiver of statutory rights.",Policy Cancellation,Insurance Agreement,Safe,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
"The Policyholder may cancel the policy within a free-look period of 2 days for a full refund of premium, less proportionate risk premium.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
"The Policyholder may cancel the policy within a free-look period of 45 days for a full refund of premium, less proportionate risk premium. This term is subject to periodic review by the Company.",Policy Cancellation,Insurance Agreement,Safe,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 12% of the premium paid. Any deviation from this clause shall require prior written consent.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 3.5% of the premium paid. This clause shall survive termination of the Agreement where applicable.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 1% of the premium paid. This provision forms an integral part of the Agreement.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 18% of the premium paid. This term is subject to periodic review by the Company.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 36% of the premium paid. This provision is subject to applicable regulatory guidelines.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 18% of the premium paid. This provision is subject to applicable regulatory guidelines. Nothing in this clause shall be construed as a waiver of statutory rights.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 4% of the premium paid. The parties acknowledge this clause as forming part of the binding terms. Nothing in this clause shall be construed as a waiver of statutory rights.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 1% of the premium paid. This clause shall survive termination of the Agreement where applicable. Nothing in this clause shall be construed as a waiver of statutory rights.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 6% of the premium paid.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 24% of the premium paid. This term is subject to periodic review by the Company. Nothing in this clause shall be construed as a waiver of statutory rights.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 7% of the premium paid. This provision is subject to applicable regulatory guidelines. The applicable schedule shall be read as part of this clause.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 12% of the premium paid. This provision forms an integral part of the Agreement.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 30% of the premium paid. This clause shall survive termination of the Agreement where applicable.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 2% of the premium paid.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 10% of the premium paid. This clause shall be read together with the other terms of this Agreement.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 8% of the premium paid. This provision forms an integral part of the Agreement. The applicable schedule shall be read as part of this clause.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 6% of the premium paid. This provision forms an integral part of the Agreement.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 18% of the premium paid.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 9% of the premium paid.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 24% of the premium paid.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 2% of the premium paid. This term is subject to periodic review by the Company.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 9% of the premium paid. This clause shall be read together with the other terms of this Agreement.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 20% of the premium paid. This clause shall survive termination of the Agreement where applicable. The applicable schedule shall be read as part of this clause.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 18% of the premium paid. This clause shall survive termination of the Agreement where applicable. This clause is subject to amendment by way of written notice.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 20% of the premium paid. This provision forms an integral part of the Agreement.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 12% of the premium paid.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 3% of the premium paid. Any deviation from this clause shall require prior written consent. The applicable schedule shall be read as part of this clause.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 20% of the premium paid. This provision is subject to applicable regulatory guidelines.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 1% of the premium paid.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 2.5% of the premium paid. This provision forms an integral part of the Agreement.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 3% of the premium paid. This provision is subject to applicable regulatory guidelines. Nothing in this clause shall be construed as a waiver of statutory rights.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 4% of the premium paid. This clause shall be read together with the other terms of this Agreement.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 30% of the premium paid.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 8% of the premium paid. The parties acknowledge this clause as forming part of the binding terms.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
Cancellation after the free-look period shall attract a surrender charge of 6% of the premium paid. This provision forms an integral part of the Agreement. The applicable schedule shall be read as part of this clause.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 9% of the premium paid. Any deviation from this clause shall require prior written consent. The applicable schedule shall be read as part of this clause.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 3% of the premium paid. This clause shall be read together with the other terms of this Agreement. This clause is subject to amendment by way of written notice.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / Motor Vehicles Act 1988,India
Cancellation after the free-look period shall attract a surrender charge of 12% of the premium paid. This term is subject to periodic review by the Company. The applicable schedule shall be read as part of this clause.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 2.5% of the premium paid. The parties acknowledge this clause as forming part of the binding terms. The applicable schedule shall be read as part of this clause.,Policy Cancellation,Insurance Agreement,Caution,Insurance Act 1938 / IRDAI Regulations,India
Cancellation after the free-look period shall attract a surrender charge of 1% of the premium paid. This clause shall be read together with the other terms of this Agreement. Nothing in this clause shall be construed as a waiver of statutory rights.,Policy Cancellation,Insurance Agreement,Caution,IRDAI (Protection of Policyholders' Interests) Regulations 2017,India
